CALTUY010000046.1_5	GCA_943912865.1_AZGAGYjCwe_bin.11.MAG_genomic	F0315_01
NZ_KQ961857.1_155	GCF_001563665.1_ASM156366v1_genomic	F0315_01
NZ_NBMV01000001.1_639	GCF_002894085.1_ASM289408v1_genomic	F0315_01
CALTUY010000063.1_3	GCA_943912865.1_AZGAGYjCwe_bin.11.MAG_genomic	F0315_02
NZ_KQ961858.1_26	GCF_001563665.1_ASM156366v1_genomic	F0315_02
NZ_NBMV01000001.1_99	GCF_002894085.1_ASM289408v1_genomic	F0315_02
CALTUY010000033.1_6	GCA_943912865.1_AZGAGYjCwe_bin.11.MAG_genomic	F0315_03
NZ_KQ961869.1_26	GCF_001563665.1_ASM156366v1_genomic	F0315_03
NZ_NBMV01000001.1_653	GCF_002894085.1_ASM289408v1_genomic	F0315_03
CALTUY010000026.1_5	GCA_943912865.1_AZGAGYjCwe_bin.11.MAG_genomic	F0315_04
NZ_KQ961867.1_83	GCF_001563665.1_ASM156366v1_genomic	F0315_04
NZ_NBMV01000001.1_69	GCF_002894085.1_ASM289408v1_genomic	F0315_04
CALTUY010000026.1_4	GCA_943912865.1_AZGAGYjCwe_bin.11.MAG_genomic	F0315_05
NZ_KQ961867.1_84	GCF_001563665.1_ASM156366v1_genomic	F0315_05
NZ_NBMV01000001.1_70	GCF_002894085.1_ASM289408v1_genomic	F0315_05
CALTUY010000043.1_7	GCA_943912865.1_AZGAGYjCwe_bin.11.MAG_genomic	F0315_06
NZ_KQ961869.1_17	GCF_001563665.1_ASM156366v1_genomic	F0315_06
NZ_NBMV01000001.1_662	GCF_002894085.1_ASM289408v1_genomic	F0315_06
NZ_KQ961872.1_132	GCF_001563665.1_ASM156366v1_genomic	F0315_07
CALTUY010000057.1_4	GCA_943912865.1_AZGAGYjCwe_bin.11.MAG_genomic	F0315_08
NZ_KQ961853.1_84	GCF_001563665.1_ASM156366v1_genomic	F0315_08
NZ_NBMV01000001.1_407	GCF_002894085.1_ASM289408v1_genomic	F0315_08
CALTUY010000007.1_12	GCA_943912865.1_AZGAGYjCwe_bin.11.MAG_genomic	F0315_09
NZ_KQ961872.1_21	GCF_001563665.1_ASM156366v1_genomic	F0315_09
NZ_NBMV01000002.1_216	GCF_002894085.1_ASM289408v1_genomic	F0315_09
CALTUY010000043.1_8	GCA_943912865.1_AZGAGYjCwe_bin.11.MAG_genomic	F0315_10
NZ_KQ961869.1_18	GCF_001563665.1_ASM156366v1_genomic	F0315_10
NZ_NBMV01000001.1_661	GCF_002894085.1_ASM289408v1_genomic	F0315_10
CALTUY010000002.1_31	GCA_943912865.1_AZGAGYjCwe_bin.11.MAG_genomic	F0315_11
NZ_KQ961849.1_12	GCF_001563665.1_ASM156366v1_genomic	F0315_11
NZ_NBMV01000001.1_131	GCF_002894085.1_ASM289408v1_genomic	F0315_11
CALTUY010000081.1_2	GCA_943912865.1_AZGAGYjCwe_bin.11.MAG_genomic	F0315_12
NZ_KQ961847.1_26	GCF_001563665.1_ASM156366v1_genomic	F0315_12
NZ_NBMV01000001.1_31	GCF_002894085.1_ASM289408v1_genomic	F0315_12
CALTUY010000021.1_15	GCA_943912865.1_AZGAGYjCwe_bin.11.MAG_genomic	F0315_13
NZ_KQ961853.1_152	GCF_001563665.1_ASM156366v1_genomic	F0315_13
